#node	identifier	category	term ID	term description
EAMY_0509	665029.EAMY_0509	STRING clusters	CL:5592	Mixed, incl. Cytosine catabolic process, and ArsR-like helix-turn-helix domain
EAMY_1281	665029.EAMY_1281	GO Component	GO:0016021	Integral component of membrane
EAMY_1281	665029.EAMY_1281	GO Component	GO:0019867	Outer membrane
EAMY_1281	665029.EAMY_1281	GO Component	GO:0030312	External encapsulating structure
EAMY_1281	665029.EAMY_1281	GO Component	GO:0030313	Cell envelope
EAMY_1281	665029.EAMY_1281	GO Component	GO:0031224	Intrinsic component of membrane
EAMY_1281	665029.EAMY_1281	GO Component	GO:0031975	Envelope
EAMY_1281	665029.EAMY_1281	GO Component	GO:0071944	Cell periphery
EAMY_1281	665029.EAMY_1281	GO Component	GO:0110165	Cellular anatomical entity
EAMY_1281	665029.EAMY_1281	STRING clusters	CL:4888	Mixed, incl. Major facilitator superfamily, and Acriflavin resistance protein
EAMY_1281	665029.EAMY_1281	STRING clusters	CL:4889	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
EAMY_1281	665029.EAMY_1281	STRING clusters	CL:4890	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
EAMY_1281	665029.EAMY_1281	STRING clusters	CL:4891	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
EAMY_1281	665029.EAMY_1281	STRING clusters	CL:4921	Drug resistance transporter EmrB-like, and Xenobiotic export from cell
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0009279	Cell outer membrane
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0016020	Membrane
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0019867	Outer membrane
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0030312	External encapsulating structure
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0030313	Cell envelope
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0031975	Envelope
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0071944	Cell periphery
EAMY_1281	665029.EAMY_1281	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
EAMY_1281	665029.EAMY_1281	UniProt Keywords	KW-0175	Coiled coil
EAMY_1281	665029.EAMY_1281	UniProt Keywords	KW-0449	Lipoprotein
EAMY_1281	665029.EAMY_1281	UniProt Keywords	KW-0472	Membrane
EAMY_1281	665029.EAMY_1281	UniProt Keywords	KW-0564	Palmitate
EAMY_1281	665029.EAMY_1281	UniProt Keywords	KW-0812	Transmembrane
EAMY_1281	665029.EAMY_1281	UniProt Keywords	KW-1134	Transmembrane beta strand
EAMY_1281	665029.EAMY_1281	Pfam	PF02321	Outer membrane efflux protein
EAMY_1281	665029.EAMY_1281	InterPro	IPR003423	Outer membrane efflux protein
EAMY_1281	665029.EAMY_1281	InterPro	IPR010131	RND efflux system, outer membrane lipoprotein, NodT
EAMY_1423	665029.EAMY_1423	GO Process	GO:0006810	Transport
EAMY_1423	665029.EAMY_1423	GO Process	GO:0009987	Cellular process
EAMY_1423	665029.EAMY_1423	GO Process	GO:0051179	Localization
EAMY_1423	665029.EAMY_1423	GO Process	GO:0051234	Establishment of localization
EAMY_1423	665029.EAMY_1423	GO Process	GO:0055085	Transmembrane transport
EAMY_1423	665029.EAMY_1423	GO Function	GO:0005215	Transporter activity
EAMY_1423	665029.EAMY_1423	GO Function	GO:0015562	Efflux transmembrane transporter activity
EAMY_1423	665029.EAMY_1423	GO Function	GO:0022857	Transmembrane transporter activity
EAMY_1423	665029.EAMY_1423	GO Component	GO:0009279	Cell outer membrane
EAMY_1423	665029.EAMY_1423	GO Component	GO:0016020	Membrane
EAMY_1423	665029.EAMY_1423	GO Component	GO:0016021	Integral component of membrane
EAMY_1423	665029.EAMY_1423	GO Component	GO:0019867	Outer membrane
EAMY_1423	665029.EAMY_1423	GO Component	GO:0030312	External encapsulating structure
EAMY_1423	665029.EAMY_1423	GO Component	GO:0030313	Cell envelope
EAMY_1423	665029.EAMY_1423	GO Component	GO:0031224	Intrinsic component of membrane
EAMY_1423	665029.EAMY_1423	GO Component	GO:0031975	Envelope
EAMY_1423	665029.EAMY_1423	GO Component	GO:0071944	Cell periphery
EAMY_1423	665029.EAMY_1423	GO Component	GO:0110165	Cellular anatomical entity
EAMY_1423	665029.EAMY_1423	STRING clusters	CL:4888	Mixed, incl. Major facilitator superfamily, and Acriflavin resistance protein
EAMY_1423	665029.EAMY_1423	STRING clusters	CL:4889	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
EAMY_1423	665029.EAMY_1423	STRING clusters	CL:4890	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
EAMY_1423	665029.EAMY_1423	STRING clusters	CL:4938	Mixed, incl. RND efflux system, outer membrane lipoprotein, NodT, and Transcription regulators MarR/SlyA-like
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0009279	Cell outer membrane
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0016020	Membrane
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0019867	Outer membrane
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0030312	External encapsulating structure
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0030313	Cell envelope
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0031975	Envelope
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0071944	Cell periphery
EAMY_1423	665029.EAMY_1423	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-0175	Coiled coil
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-0449	Lipoprotein
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-0472	Membrane
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-0564	Palmitate
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-0732	Signal
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-0812	Transmembrane
EAMY_1423	665029.EAMY_1423	UniProt Keywords	KW-1134	Transmembrane beta strand
EAMY_1423	665029.EAMY_1423	Pfam	PF02321	Outer membrane efflux protein
EAMY_1423	665029.EAMY_1423	InterPro	IPR003423	Outer membrane efflux protein
EAMY_1423	665029.EAMY_1423	InterPro	IPR010131	RND efflux system, outer membrane lipoprotein, NodT
EAMY_2573	665029.EAMY_2573	STRING clusters	CL:3825	Mixed, incl. Prosthetic group metabolic process, and Molybdate ion transport
EAMY_2573	665029.EAMY_2573	STRING clusters	CL:3898	Mixed, incl. Dehydroquinase class II, and Protein repair
EAMY_2573	665029.EAMY_2573	STRING clusters	CL:3916	Dehydroquinase class II, and Quinoprotein dehydrogenase, conserved site
EAMY_2854	665029.EAMY_2854	STRING clusters	CL:2998	Mixed, incl. Glucan biosynthesis protein MdoG/MdoD, and Protein of unknown function DUF1375
EAMY_2855	665029.EAMY_2855	STRING clusters	CL:2998	Mixed, incl. Glucan biosynthesis protein MdoG/MdoD, and Protein of unknown function DUF1375
aadK	665029.EAMY_2574	GO Process	GO:0009987	Cellular process
aadK	665029.EAMY_2574	GO Process	GO:0010033	Response to organic substance
aadK	665029.EAMY_2574	GO Process	GO:0042221	Response to chemical
aadK	665029.EAMY_2574	GO Process	GO:0046677	Response to antibiotic
aadK	665029.EAMY_2574	GO Process	GO:0050896	Response to stimulus
aadK	665029.EAMY_2574	GO Process	GO:0051716	Cellular response to stimulus
aadK	665029.EAMY_2574	GO Process	GO:0070887	Cellular response to chemical stimulus
aadK	665029.EAMY_2574	GO Process	GO:0071236	Cellular response to antibiotic
aadK	665029.EAMY_2574	GO Process	GO:1901700	Response to oxygen-containing compound
aadK	665029.EAMY_2574	GO Process	GO:1901701	Cellular response to oxygen-containing compound
aadK	665029.EAMY_2574	GO Process	GO:1903416	Response to glycoside
aadK	665029.EAMY_2574	GO Function	GO:0003824	Catalytic activity
aadK	665029.EAMY_2574	GO Function	GO:0016740	Transferase activity
aadK	665029.EAMY_2574	GO Function	GO:0016772	Transferase activity, transferring phosphorus-containing groups
aadK	665029.EAMY_2574	GO Function	GO:0016779	Nucleotidyltransferase activity
aadK	665029.EAMY_2574	GO Component	GO:0005622	Intracellular anatomical structure
aadK	665029.EAMY_2574	GO Component	GO:0005737	Cytoplasm
aadK	665029.EAMY_2574	GO Component	GO:0110165	Cellular anatomical entity
aadK	665029.EAMY_2574	STRING clusters	CL:3825	Mixed, incl. Prosthetic group metabolic process, and Molybdate ion transport
aadK	665029.EAMY_2574	STRING clusters	CL:3898	Mixed, incl. Dehydroquinase class II, and Protein repair
aadK	665029.EAMY_2574	STRING clusters	CL:3916	Dehydroquinase class II, and Quinoprotein dehydrogenase, conserved site
aadK	665029.EAMY_2574	COMPARTMENTS	GOCC:0005622	Intracellular
aadK	665029.EAMY_2574	COMPARTMENTS	GOCC:0005737	Cytoplasm
aadK	665029.EAMY_2574	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
aadK	665029.EAMY_2574	UniProt Keywords	KW-0175	Coiled coil
aadK	665029.EAMY_2574	UniProt Keywords	KW-0548	Nucleotidyltransferase
aadK	665029.EAMY_2574	UniProt Keywords	KW-0808	Transferase
aadK	665029.EAMY_2574	Pfam	PF04439	Streptomycin adenylyltransferase
aadK	665029.EAMY_2574	InterPro	IPR007530	Aminoglycoside 6-adenylyltransferase
aadK	665029.EAMY_2574	InterPro	IPR043519	Nucleotidyltransferase superfamily
aaeA	665029.EAMY_0292	GO Process	GO:0006810	Transport
aaeA	665029.EAMY_0292	GO Process	GO:0009987	Cellular process
aaeA	665029.EAMY_0292	GO Process	GO:0051179	Localization
aaeA	665029.EAMY_0292	GO Process	GO:0051234	Establishment of localization
aaeA	665029.EAMY_0292	GO Process	GO:0055085	Transmembrane transport
aaeA	665029.EAMY_0292	GO Function	GO:0005215	Transporter activity
aaeA	665029.EAMY_0292	GO Function	GO:0022857	Transmembrane transporter activity
aaeA	665029.EAMY_0292	GO Component	GO:0005886	Plasma membrane
aaeA	665029.EAMY_0292	GO Component	GO:0016020	Membrane
aaeA	665029.EAMY_0292	GO Component	GO:0016021	Integral component of membrane
aaeA	665029.EAMY_0292	GO Component	GO:0031224	Intrinsic component of membrane
aaeA	665029.EAMY_0292	GO Component	GO:0071944	Cell periphery
aaeA	665029.EAMY_0292	GO Component	GO:0110165	Cellular anatomical entity
aaeA	665029.EAMY_0292	STRING clusters	CL:2576	Mixed, incl. Signal, and Integral component of membrane
aaeA	665029.EAMY_0292	STRING clusters	CL:2577	Mixed, incl. Signal, and Regulation of biological process
aaeA	665029.EAMY_0292	STRING clusters	CL:2578	Mixed, incl. Signal, and Cell division
aaeA	665029.EAMY_0292	STRING clusters	CL:2579	Mixed, incl. Signal, and Integral component of membrane
aaeA	665029.EAMY_0292	STRING clusters	CL:2580	Signal, and Integral component of membrane
aaeA	665029.EAMY_0292	STRING clusters	CL:2582	Signal, and Integral component of membrane
aaeA	665029.EAMY_0292	STRING clusters	CL:2584	Mixed, incl. Signal, and Fusaric acid resistance protein-like
aaeA	665029.EAMY_0292	STRING clusters	CL:2585	Mixed, incl. Signal, and Fusaric acid resistance protein-like
aaeA	665029.EAMY_0292	STRING clusters	CL:2586	Mixed, incl. Signal, and Fusaric acid resistance protein-like
aaeA	665029.EAMY_0292	STRING clusters	CL:2710	Mixed, incl. Fusaric acid resistance protein-like, and RND efflux pump, membrane fusion protein
aaeA	665029.EAMY_0292	COMPARTMENTS	GOCC:0005886	Plasma membrane
aaeA	665029.EAMY_0292	COMPARTMENTS	GOCC:0016020	Membrane
aaeA	665029.EAMY_0292	COMPARTMENTS	GOCC:0071944	Cell periphery
aaeA	665029.EAMY_0292	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
aaeA	665029.EAMY_0292	UniProt Keywords	KW-0175	Coiled coil
aaeA	665029.EAMY_0292	UniProt Keywords	KW-0472	Membrane
aaeA	665029.EAMY_0292	UniProt Keywords	KW-0812	Transmembrane
aaeA	665029.EAMY_0292	UniProt Keywords	KW-0813	Transport
aaeA	665029.EAMY_0292	UniProt Keywords	KW-0997	Cell inner membrane
aaeA	665029.EAMY_0292	UniProt Keywords	KW-1003	Cell membrane
aaeA	665029.EAMY_0292	UniProt Keywords	KW-1133	Transmembrane helix
aaeA	665029.EAMY_0292	Pfam	PF16576	Barrel-sandwich domain of CusB or HlyD membrane-fusion
aaeA	665029.EAMY_0292	InterPro	IPR006143	RND efflux pump, membrane fusion protein
aaeA	665029.EAMY_0292	InterPro	IPR022871	Para-hydroxybenzoic acid efflux pump, subunit AaeA
aaeA	665029.EAMY_0292	InterPro	IPR039562	Membrane fusion protein, biotin-lipoyl like domain
acrA	665029.EAMY_1009	GO Process	GO:0006810	Transport
acrA	665029.EAMY_1009	GO Process	GO:0009987	Cellular process
acrA	665029.EAMY_1009	GO Process	GO:0051179	Localization
acrA	665029.EAMY_1009	GO Process	GO:0051234	Establishment of localization
acrA	665029.EAMY_1009	GO Process	GO:0055085	Transmembrane transport
acrA	665029.EAMY_1009	GO Function	GO:0005215	Transporter activity
acrA	665029.EAMY_1009	GO Function	GO:0022857	Transmembrane transporter activity
acrA	665029.EAMY_1009	GO Component	GO:0005886	Plasma membrane
acrA	665029.EAMY_1009	GO Component	GO:0016020	Membrane
acrA	665029.EAMY_1009	GO Component	GO:0071944	Cell periphery
acrA	665029.EAMY_1009	GO Component	GO:0110165	Cellular anatomical entity
acrA	665029.EAMY_1009	STRING clusters	CL:4888	Mixed, incl. Major facilitator superfamily, and Acriflavin resistance protein
acrA	665029.EAMY_1009	STRING clusters	CL:4889	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrA	665029.EAMY_1009	STRING clusters	CL:4890	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrA	665029.EAMY_1009	STRING clusters	CL:4891	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrA	665029.EAMY_1009	KEGG	eam01501	beta-Lactam resistance
acrA	665029.EAMY_1009	KEGG	eam01503	Cationic antimicrobial peptide (CAMP) resistance
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:0016020	Membrane
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:0016021	Integral component of membrane
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:0031224	Intrinsic component of membrane
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:0032991	Protein-containing complex
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:0098796	Membrane protein complex
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:1902495	Transmembrane transporter complex
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:1990195	Macrolide transmembrane transporter complex
acrA	665029.EAMY_1009	COMPARTMENTS	GOCC:1990351	Transporter complex
acrA	665029.EAMY_1009	UniProt Keywords	KW-0732	Signal
acrA	665029.EAMY_1009	Pfam	PF16576	Barrel-sandwich domain of CusB or HlyD membrane-fusion
acrA	665029.EAMY_1009	InterPro	IPR006143	RND efflux pump, membrane fusion protein
acrA	665029.EAMY_1009	InterPro	IPR032317	RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrA	665029.EAMY_1009	InterPro	IPR043602	Cation efflux system protein CusB, domain 1
acrB	665029.EAMY_1008	GO Process	GO:0006810	Transport
acrB	665029.EAMY_1008	GO Process	GO:0009987	Cellular process
acrB	665029.EAMY_1008	GO Process	GO:0042908	Xenobiotic transport
acrB	665029.EAMY_1008	GO Process	GO:0051179	Localization
acrB	665029.EAMY_1008	GO Process	GO:0051234	Establishment of localization
acrB	665029.EAMY_1008	GO Process	GO:0055085	Transmembrane transport
acrB	665029.EAMY_1008	GO Function	GO:0005215	Transporter activity
acrB	665029.EAMY_1008	GO Function	GO:0015562	Efflux transmembrane transporter activity
acrB	665029.EAMY_1008	GO Function	GO:0022857	Transmembrane transporter activity
acrB	665029.EAMY_1008	GO Component	GO:0005886	Plasma membrane
acrB	665029.EAMY_1008	GO Component	GO:0016020	Membrane
acrB	665029.EAMY_1008	GO Component	GO:0016021	Integral component of membrane
acrB	665029.EAMY_1008	GO Component	GO:0031224	Intrinsic component of membrane
acrB	665029.EAMY_1008	GO Component	GO:0071944	Cell periphery
acrB	665029.EAMY_1008	GO Component	GO:0110165	Cellular anatomical entity
acrB	665029.EAMY_1008	STRING clusters	CL:4888	Mixed, incl. Major facilitator superfamily, and Acriflavin resistance protein
acrB	665029.EAMY_1008	STRING clusters	CL:4889	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrB	665029.EAMY_1008	STRING clusters	CL:4890	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrB	665029.EAMY_1008	STRING clusters	CL:4891	Mixed, incl. Acriflavin resistance protein, and RND efflux pump, membrane fusion protein, barrel-sandwich domain
acrB	665029.EAMY_1008	KEGG	eam01501	beta-Lactam resistance
acrB	665029.EAMY_1008	KEGG	eam01503	Cationic antimicrobial peptide (CAMP) resistance
acrB	665029.EAMY_1008	COMPARTMENTS	GOCC:0005886	Plasma membrane
acrB	665029.EAMY_1008	COMPARTMENTS	GOCC:0016020	Membrane
acrB	665029.EAMY_1008	COMPARTMENTS	GOCC:0071944	Cell periphery
acrB	665029.EAMY_1008	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
acrB	665029.EAMY_1008	UniProt Keywords	KW-0472	Membrane
acrB	665029.EAMY_1008	UniProt Keywords	KW-0812	Transmembrane
acrB	665029.EAMY_1008	UniProt Keywords	KW-0813	Transport
acrB	665029.EAMY_1008	UniProt Keywords	KW-0997	Cell inner membrane
acrB	665029.EAMY_1008	UniProt Keywords	KW-1003	Cell membrane
acrB	665029.EAMY_1008	UniProt Keywords	KW-1133	Transmembrane helix
acrB	665029.EAMY_1008	Pfam	PF02355	Protein export membrane protein
acrB	665029.EAMY_1008	Pfam	PF03176	MMPL family
acrB	665029.EAMY_1008	InterPro	IPR001036	Acriflavin resistance protein
acrB	665029.EAMY_1008	InterPro	IPR004764	Hydrophobe/amphiphile efflux-1 HAE1
acrB	665029.EAMY_1008	InterPro	IPR027463	Multidrug efflux transporter AcrB TolC docking domain, DN/DC subdomains
acrZ	665029.EAMY_1196	GO Process	GO:0006810	Transport
acrZ	665029.EAMY_1196	GO Process	GO:0009636	Response to toxic substance
acrZ	665029.EAMY_1196	GO Process	GO:0009987	Cellular process
acrZ	665029.EAMY_1196	GO Process	GO:0042221	Response to chemical
acrZ	665029.EAMY_1196	GO Process	GO:0042908	Xenobiotic transport
acrZ	665029.EAMY_1196	GO Process	GO:0046618	Xenobiotic export from cell
acrZ	665029.EAMY_1196	GO Process	GO:0046677	Response to antibiotic
acrZ	665029.EAMY_1196	GO Process	GO:0050896	Response to stimulus
acrZ	665029.EAMY_1196	GO Process	GO:0051179	Localization
acrZ	665029.EAMY_1196	GO Process	GO:0051234	Establishment of localization
acrZ	665029.EAMY_1196	GO Process	GO:0055085	Transmembrane transport
acrZ	665029.EAMY_1196	GO Process	GO:0098754	Detoxification
acrZ	665029.EAMY_1196	GO Process	GO:0140115	Export across plasma membrane
acrZ	665029.EAMY_1196	GO Process	GO:0140352	Export from cell
acrZ	665029.EAMY_1196	GO Process	GO:1990961	Xenobiotic detoxification by transmembrane export across the plasma membrane
acrZ	665029.EAMY_1196	GO Function	GO:0005215	Transporter activity
acrZ	665029.EAMY_1196	GO Function	GO:0022857	Transmembrane transporter activity
acrZ	665029.EAMY_1196	GO Function	GO:0042910	Xenobiotic transmembrane transporter activity
acrZ	665029.EAMY_1196	GO Component	GO:0005886	Plasma membrane
acrZ	665029.EAMY_1196	GO Component	GO:0016020	Membrane
acrZ	665029.EAMY_1196	GO Component	GO:0016021	Integral component of membrane
acrZ	665029.EAMY_1196	GO Component	GO:0031224	Intrinsic component of membrane
acrZ	665029.EAMY_1196	GO Component	GO:0071944	Cell periphery
acrZ	665029.EAMY_1196	GO Component	GO:0110165	Cellular anatomical entity
acrZ	665029.EAMY_1196	STRING clusters	CL:3825	Mixed, incl. Prosthetic group metabolic process, and Molybdate ion transport
acrZ	665029.EAMY_1196	STRING clusters	CL:3826	Mixed, incl. Prosthetic group metabolic process, and Molybdate ion transport
acrZ	665029.EAMY_1196	STRING clusters	CL:3828	Mixed, incl. Prosthetic group metabolic process, and Molybdate ion transport
acrZ	665029.EAMY_1196	STRING clusters	CL:3829	Prosthetic group metabolic process, and Molybdate ion transport
acrZ	665029.EAMY_1196	COMPARTMENTS	GOCC:0005886	Plasma membrane
acrZ	665029.EAMY_1196	COMPARTMENTS	GOCC:0016020	Membrane
acrZ	665029.EAMY_1196	COMPARTMENTS	GOCC:0016021	Integral component of membrane
acrZ	665029.EAMY_1196	COMPARTMENTS	GOCC:0031224	Intrinsic component of membrane
acrZ	665029.EAMY_1196	COMPARTMENTS	GOCC:0071944	Cell periphery
acrZ	665029.EAMY_1196	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
acrZ	665029.EAMY_1196	UniProt Keywords	KW-0046	Antibiotic resistance
acrZ	665029.EAMY_1196	UniProt Keywords	KW-0472	Membrane
acrZ	665029.EAMY_1196	UniProt Keywords	KW-0812	Transmembrane
acrZ	665029.EAMY_1196	UniProt Keywords	KW-0813	Transport
acrZ	665029.EAMY_1196	UniProt Keywords	KW-0997	Cell inner membrane
acrZ	665029.EAMY_1196	UniProt Keywords	KW-1003	Cell membrane
acrZ	665029.EAMY_1196	UniProt Keywords	KW-1133	Transmembrane helix
acrZ	665029.EAMY_1196	Pfam	PF10766	Multidrug efflux pump-associated protein AcrZ
acrZ	665029.EAMY_1196	InterPro	IPR019702	Multidrug efflux pump accessory protein AcrZ
ampC	665029.EAMY_0516	GO Process	GO:0008152	Metabolic process
ampC	665029.EAMY_0516	GO Function	GO:0003824	Catalytic activity
ampC	665029.EAMY_0516	GO Function	GO:0016787	Hydrolase activity
ampC	665029.EAMY_0516	GO Component	GO:0110165	Cellular anatomical entity
ampC	665029.EAMY_0516	STRING clusters	CL:5060	Mixed, incl. Organic acid catabolic process, and Signal
ampC	665029.EAMY_0516	STRING clusters	CL:5061	Mixed, incl. Signal, and Biological process involved in interspecies interaction between organisms
ampC	665029.EAMY_0516	STRING clusters	CL:5251	Mostly uncharacterized, incl. ABC-type xenobiotic transporter activity, and DNA geometric change
ampC	665029.EAMY_0516	STRING clusters	CL:5252	Mixed, incl. ABC-type xenobiotic transporter activity, and GNAT domain
ampC	665029.EAMY_0516	STRING clusters	CL:5280	Mixed, incl. ABC-type xenobiotic transporter activity, and Beta-lactamase
ampC	665029.EAMY_0516	KEGG	eam01501	beta-Lactam resistance
ampC	665029.EAMY_0516	KEGG	eam02020	Two-component system
ampC	665029.EAMY_0516	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ampC	665029.EAMY_0516	UniProt Keywords	KW-0046	Antibiotic resistance
ampC	665029.EAMY_0516	UniProt Keywords	KW-0378	Hydrolase
ampC	665029.EAMY_0516	UniProt Keywords	KW-0732	Signal
ampC	665029.EAMY_0516	Pfam	PF00144	Beta-lactamase
ampC	665029.EAMY_0516	InterPro	IPR001466	Beta-lactamase-related
ampC	665029.EAMY_0516	InterPro	IPR001586	Beta-lactamase, class-C active site
ampC	665029.EAMY_0516	InterPro	IPR012338	Beta-lactamase/transpeptidase-like
ampE	665029.EAMY_2852	GO Process	GO:0042221	Response to chemical
ampE	665029.EAMY_2852	GO Process	GO:0046677	Response to antibiotic
ampE	665029.EAMY_2852	GO Process	GO:0050896	Response to stimulus
ampE	665029.EAMY_2852	GO Component	GO:0016020	Membrane
ampE	665029.EAMY_2852	GO Component	GO:0016021	Integral component of membrane
ampE	665029.EAMY_2852	GO Component	GO:0031224	Intrinsic component of membrane
ampE	665029.EAMY_2852	GO Component	GO:0110165	Cellular anatomical entity
ampE	665029.EAMY_2852	STRING clusters	CL:2998	Mixed, incl. Glucan biosynthesis protein MdoG/MdoD, and Protein of unknown function DUF1375
ampE	665029.EAMY_2852	COMPARTMENTS	GOCC:0005886	Plasma membrane
ampE	665029.EAMY_2852	COMPARTMENTS	GOCC:0016020	Membrane
ampE	665029.EAMY_2852	COMPARTMENTS	GOCC:0071944	Cell periphery
ampE	665029.EAMY_2852	COMPARTMENTS	GOCC:0110165	Cellular anatomical entity
ampE	665029.EAMY_2852	UniProt Keywords	KW-0472	Membrane
ampE	665029.EAMY_2852	UniProt Keywords	KW-0812	Transmembrane
ampE	665029.EAMY_2852	UniProt Keywords	KW-1133	Transmembrane helix
ampE	665029.EAMY_2852	Pfam	PF17113	Regulatory signalling modulator protein AmpE
ampE	665029.EAMY_2852	InterPro	IPR031347	Protein AmpE
bacA	665029.EAMY_0421	GO Process	GO:0000270	Peptidoglycan metabolic process
bacA	665029.EAMY_0421	GO Process	GO:0006022	Aminoglycan metabolic process
bacA	665029.EAMY_0421	GO Process	GO:0006023	Aminoglycan biosynthetic process
bacA	665029.EAMY_0421	GO Process	GO:0006024	Glycosaminoglycan biosynthetic process
bacA	665029.EAMY_0421	GO Process	GO:0006793	Phosphorus metabolic process
bacA	665029.EAMY_0421	GO Process	GO:0006796	Phosphate-containing compound metabolic process
bacA	665029.EAMY_0421	GO Process	GO:0006807	Nitrogen compound metabolic process
bacA	665029.EAMY_0421	GO Process	GO:0008152	Metabolic process
bacA	665029.EAMY_0421	GO Process	GO:0008360	Regulation of cell shape
